pgain,vgain,motor.A,motor.B,motor.C,motor.D,motor.E,screw.A,screw.B,screw.C,screw.D,screw.E,binaryClass
5,4,0,0,0,0,1,0,0,0,0,1,P
6,5,0,1,0,0,0,0,0,0,1,0,P
4,3,0,0,0,1,0,0,0,0,1,0,P
3,2,0,1,0,0,0,1,0,0,0,0,N
6,5,0,0,0,1,0,0,1,0,0,0,P
4,3,0,0,0,0,1,0,0,1,0,0,P
3,2,0,0,1,0,0,1,0,0,0,0,N
3,2,1,0,0,0,0,1,0,0,0,0,N
6,5,0,0,1,0,0,1,0,0,0,0,P
4,1,0,0,0,1,0,1,0,0,0,0,P
6,5,0,1,0,0,0,0,0,0,0,1,P
5,4,0,0,0,0,1,0,0,1,0,0,P
4,1,0,1,0,0,0,0,0,1,0,0,P
3,1,0,0,0,0,1,0,0,1,0,0,P
5,4,0,0,1,0,0,0,0,1,0,0,P
3,2,0,0,0,0,1,0,1,0,0,0,N
3,1,0,0,0,1,0,0,0,1,0,0,P
5,4,0,1,0,0,0,0,0,1,0,0,P
5,4,0,1,0,0,0,0,1,0,0,0,P
4,2,0,0,1,0,0,0,0,0,0,1,P
4,3,0,0,0,0,1,0,0,0,1,0,P
4,3,1,0,0,0,0,0,0,0,1,0,P
6,5,0,1,0,0,0,0,0,1,0,0,P
4,2,1,0,0,0,0,0,0,1,0,0,P
6,5,1,0,0,0,0,0,1,0,0,0,P
6,5,0,0,0,0,1,0,0,1,0,0,P
3,1,1,0,0,0,0,1,0,0,0,0,N
4,2,1,0,0,0,0,0,0,0,0,1,P
3,2,0,0,1,0,0,0,0,0,1,0,N
3,2,0,1,0,0,0,0,1,0,0,0,N
4,2,0,1,0,0,0,0,0,0,0,1,P
3,1,0,1,0,0,0,0,0,1,0,0,N
4,1,0,0,1,0,0,0,0,0,0,1,P
6,2,0,0,1,0,0,1,0,0,0,0,P
6,5,0,0,1,0,0,0,0,1,0,0,P
3,2,0,0,0,0,1,0,0,0,0,1,P
3,1,0,0,0,1,0,0,0,0,0,1,P
4,2,0,0,0,0,1,0,0,1,0,0,P
6,5,0,0,1,0,0,0,1,0,0,0,P
4,1,0,0,1,0,0,0,0,0,1,0,P
4,1,0,0,0,1,0,0,1,0,0,0,P
4,3,0,0,1,0,0,0,1,0,0,0,P
4,3,0,0,1,0,0,0,0,1,0,0,P
4,1,0,1,0,0,0,0,0,0,1,0,P
5,3,0,1,0,0,0,1,0,0,0,0,P
4,3,1,0,0,0,0,0,1,0,0,0,P
4,1,0,1,0,0,0,1,0,0,0,0,P
4,2,0,0,0,0,1,0,0,0,1,0,P
3,2,0,0,1,0,0,0,0,0,0,1,N
3,1,0,0,0,1,0,0,0,0,1,0,P
6,5,0,0,0,1,0,1,0,0,0,0,P
3,2,0,0,1,0,0,0,1,0,0,0,N
3,2,0,1,0,0,0,0,0,0,0,1,N
5,4,0,0,1,0,0,0,0,0,1,0,P
4,2,0,1,0,0,0,0,1,0,0,0,P
4,3,1,0,0,0,0,0,0,0,0,1,P
4,2,1,0,0,0,0,1,0,0,0,0,P
4,3,0,1,0,0,0,0,0,0,1,0,P
3,2,0,0,0,0,1,1,0,0,0,0,N
4,3,0,1,0,0,0,0,0,1,0,0,P
4,2,0,0,0,0,1,0,1,0,0,0,P
5,4,0,0,0,0,1,1,0,0,0,0,P
5,4,0,0,0,0,1,0,1,0,0,0,P
6,1,0,0,1,0,0,1,0,0,0,0,P
4,3,0,0,0,1,0,1,0,0,0,0,P
4,2,0,0,1,0,0,0,1,0,0,0,P
3,2,0,0,0,1,0,0,1,0,0,0,N
3,2,0,0,0,1,0,0,0,1,0,0,P
5,2,0,0,1,0,0,1,0,0,0,0,P
4,2,0,1,0,0,0,0,0,0,1,0,P
6,5,0,1,0,0,0,1,0,0,0,0,P
4,2,0,0,0,1,0,1,0,0,0,0,P
5,4,0,0,1,0,0,0,1,0,0,0,P
6,5,1,0,0,0,0,0,0,0,0,1,P
4,1,1,0,0,0,0,0,0,1,0,0,P
5,4,1,0,0,0,0,0,0,0,0,1,P
4,1,0,0,0,0,1,0,0,1,0,0,P
3,1,0,1,0,0,0,0,1,0,0,0,N
3,2,1,0,0,0,0,0,0,0,1,0,N
3,2,0,0,0,0,1,0,0,0,1,0,P
3,1,0,0,0,0,1,1,0,0,0,0,N
6,5,1,0,0,0,0,0,0,1,0,0,P
5,4,0,0,1,0,0,0,0,0,0,1,P
5,4,0,0,1,0,0,1,0,0,0,0,P
6,5,0,0,0,0,1,1,0,0,0,0,P
5,4,0,1,0,0,0,0,0,0,0,1,P
4,3,0,0,0,0,1,0,0,0,0,1,P
4,2,0,1,0,0,0,1,0,0,0,0,P
5,4,0,1,0,0,0,0,0,0,1,0,P
4,2,0,0,1,0,0,0,0,1,0,0,P
5,3,1,0,0,0,0,1,0,0,0,0,P
4,3,0,0,1,0,0,0,0,0,0,1,P
4,3,1,0,0,0,0,1,0,0,0,0,P
6,3,0,0,1,0,0,1,0,0,0,0,P
4,1,1,0,0,0,0,0,0,0,0,1,P
6,5,1,0,0,0,0,0,0,0,1,0,P
3,1,0,0,0,0,1,0,0,0,1,0,P
4,1,0,0,1,0,0,0,1,0,0,0,P
3,2,0,1,0,0,0,0,0,0,1,0,N
4,3,0,1,0,0,0,0,1,0,0,0,P
4,2,0,1,0,0,0,0,0,1,0,0,P
3,2,1,0,0,0,0,0,0,0,0,1,N
3,1,0,1,0,0,0,0,0,0,1,0,N
5,4,0,0,0,1,0,0,1,0,0,0,P
4,1,0,0,1,0,0,0,0,1,0,0,P
4,2,0,0,1,0,0,0,0,0,1,0,P
4,1,0,0,0,0,1,0,1,0,0,0,P
3,1,0,0,0,1,0,0,1,0,0,0,P
6,5,0,0,0,0,1,0,1,0,0,0,P
3,1,0,0,0,1,0,1,0,0,0,0,N
5,4,1,0,0,0,0,0,0,0,1,0,P
4,1,0,0,1,0,0,1,0,0,0,0,P
6,5,0,0,1,0,0,0,0,0,1,0,P
4,3,0,1,0,0,0,1,0,0,0,0,P
4,3,0,0,0,0,1,1,0,0,0,0,P
4,1,1,0,0,0,0,1,0,0,0,0,P
4,3,1,0,0,0,0,0,0,1,0,0,P
6,5,0,0,0,0,1,0,0,0,1,0,P
4,2,0,0,0,0,1,1,0,0,0,0,P
3,1,0,0,1,0,0,0,0,0,1,0,N
4,1,0,1,0,0,0,0,1,0,0,0,P
4,2,0,0,1,0,0,1,0,0,0,0,P
5,1,0,0,1,0,0,1,0,0,0,0,P
3,1,0,0,1,0,0,0,0,0,0,1,P
3,1,0,0,1,0,0,1,0,0,0,0,N
4,3,0,0,1,0,0,1,0,0,0,0,P
3,1,0,0,1,0,0,0,0,1,0,0,N
5,4,0,0,0,1,0,1,0,0,0,0,P
5,4,1,0,0,0,0,0,1,0,0,0,P
3,2,0,0,1,0,0,0,0,1,0,0,N
5,4,0,0,0,0,1,0,0,0,1,0,P
4,3,0,0,0,1,0,0,0,1,0,0,P
6,5,0,0,0,0,1,0,0,0,0,1,P
4,2,0,0,0,1,0,0,1,0,0,0,P
4,2,1,0,0,0,0,0,0,0,1,0,P
6,5,0,1,0,0,0,0,1,0,0,0,P
4,1,1,0,0,0,0,0,1,0,0,0,P
5,4,1,0,0,0,0,0,0,1,0,0,P
4,1,0,1,0,0,0,0,0,0,0,1,P
3,1,0,0,1,0,0,0,1,0,0,0,N
4,2,0,0,0,0,1,0,0,0,0,1,P
4,3,0,1,0,0,0,0,0,0,0,1,P
3,1,1,0,0,0,0,0,0,0,0,1,N
4,2,1,0,0,0,0,0,1,0,0,0,P
3,1,1,0,0,0,0,0,0,1,0,0,N
3,2,0,0,0,0,1,0,0,1,0,0,N
3,1,0,1,0,0,0,1,0,0,0,0,N
3,2,0,0,0,1,0,0,0,0,1,0,N
3,2,1,0,0,0,0,0,0,1,0,0,N
4,1,0,0,0,0,1,1,0,0,0,0,P
5,4,0,1,0,0,0,1,0,0,0,0,P
3,1,0,0,0,0,1,0,0,0,0,1,P
3,2,0,0,0,1,0,0,0,0,0,1,P
3,1,0,0,0,0,1,0,1,0,0,0,N
4,1,1,0,0,0,0,0,0,0,1,0,P
3,1,1,0,0,0,0,0,0,0,1,0,N
4,3,0,0,0,0,1,0,1,0,0,0,P
3,1,1,0,0,0,0,0,1,0,0,0,N
4,3,0,0,0,1,0,0,1,0,0,0,P
5,4,1,0,0,0,0,1,0,0,0,0,P
3,2,0,0,0,1,0,1,0,0,0,0,N
6,5,0,0,1,0,0,0,0,0,0,1,P
3,2,0,1,0,0,0,0,0,1,0,0,N
3,1,0,1,0,0,0,0,0,0,0,1,N
4,3,0,0,1,0,0,0,0,0,1,0,P
3,2,1,0,0,0,0,0,1,0,0,0,N
6,5,1,0,0,0,0,1,0,0,0,0,P
